食物名稱,種類,能量,蛋白質,碳水化合物,脂肪,膳食纖維,糖,鈉
乳酪(雲呢拿或檸檬味，以脫脂奶製成，含低卡路里甜味劑),9,43,3.86,7.5,0.18,0,7.5,59
人奶,9,70,1.03,6.89,4.38,0,6.89,17
低脂奶(含1%乳脂，添加維他命A及D),9,42,3.37,4.99,0.97,0,5.2,44
低脂朱古力奶(添加維他命A及D),9,63,3.24,10.44,1,0.5,9.94,61
全脂奶(含3.25%乳脂，無添加維他命A及D),9,61,3.15,4.78,3.27,0,5.26,43
全脂奶粉(無添加維他命D),9,496,26.32,38.42,26.71,0,38.42,371
全脂朱古力奶(添加維他命A及D),9,83,3.17,10.34,3.39,0.8,9.54,60
半軟山羊芝士,9,364,21.58,2.54,29.84,0,2.54,515
哥打芝士,9,356,24.94,2.22,27.44,0,2.22,819
域哥打芝士(以全脂奶製成),9,174,11.26,3.04,12.98,0,0.27,84
域哥打芝士(以部分脫脂奶製成),9,138,11.39,5.14,7.91,0,0.31,125
士多啤梨奶昔(快餐式),9,113,3.4,18.9,2.8,0.4,0,83
奶昔沖粉(非朱古力),9,329,23.5,52.9,2.6,1.6,51.3,780
布里芝士,9,334,20.75,0.45,27.68,0,0.45,629
帕爾馬芝士(乾磨碎，較低脂),9,265,20,1.37,20,0,0,1529
帕爾馬芝士(低鈉),9,451,41.6,3.7,29.99,0,0.85,63
帕爾馬芝士(切碎),9,415,37.86,3.41,27.34,0,0.9,1696
帕爾馬芝士(磨碎),9,431,38.46,4.06,28.61,0,0.9,1529
忌廉(已攪拌，加壓),9,257,3.2,12.49,22.22,0,8,130
忌廉(液體，劇烈攪拌),9,345,2.05,2.79,37,0,0.11,38
忌廉(液體，輕微攪拌),9,292,2.17,2.96,30.91,0,0.11,34
忌廉[咖啡或餐用](液體，輕怡),9,195,2.7,3.66,19.31,0,0.14,40
忌廉芝士,9,342,5.93,4.07,34.24,0,3.21,321
忌廉芝士(不含脂肪),9,105,15.69,7.66,1,0,5.48,702
忌廉芝士(低脂),9,201,7.85,8.13,15.28,0,5.82,470
忌廉芝士醬,9,295,7.1,3.5,28.6,0,3.5,673
挪威芝士,9,466,9.65,42.65,29.51,0,0,600
提爾錫特芝士,9,340,24.41,1.88,25.98,0,0,753
朱古力乳酪(以脫脂奶製成),9,112,3.53,23.53,0,1.2,14.97,135
朱古力奶昔(快餐式),9,127,3.4,20.5,3.7,1.9,18.6,97
朱古力奶昔(稠),9,119,3.05,21.15,2.7,0.3,20.85,111
朱古力奶沖粉(較低卡路里，含低卡路里甜味劑),9,329,25,51.4,2.6,9.4,32.94,659
格魯耶爾芝士,9,413,29.81,0.36,32.34,0,0.36,336
梵堤那芝士,9,389,25.6,1.55,31.14,0,1.55,800
水果乳酪(低脂，含低卡路里甜味劑),9,105,4.86,18.6,1.41,0,2.9,58
波伏洛芝士,9,351,25.58,2.14,26.62,0,0.56,876
波伏洛芝士(較低脂),9,274,24.7,3.5,17.6,0,0.55,876
淡奶(罐裝，無添加維他命A及D）,9,135,6.81,10.04,7.56,0,10.04,106
煉奶(罐裝，添加糖),9,321,7.91,54.4,8.7,0,54.4,127
瑞士芝士,9,380,26.93,5.38,27.8,0,1.32,192
瑞士芝士(低脂),9,173,28.4,3.4,5.1,0,1.33,260
瑞士芝士(低鈉),9,374,28.4,3.4,27.4,0,1.31,14
發達羊奶芝士,9,264,14.21,4.09,21.28,0,4.09,1116
硬山羊芝士,9,452,30.52,2.17,35.59,0,2.17,346
硬帕爾馬芝士,9,392,35.75,3.22,25.83,0,0.8,1602
納沙特爾芝士,9,253,9.15,3.59,22.78,0,3.19,334
羅絡褔芝士,9,369,21.54,2,30.64,0,0,1809
羅馬諾芝士,9,387,31.8,3.63,26.94,0,0.73,1200
羊奶,9,108,5.98,5.36,7,0,0,44
羊奶(添加維他命D),9,69,3.56,4.45,4.14,0,4.45,50
美國車打仿芝士,9,239,16.7,11.6,14,0,7.74,1345
脫脂奶(強化鈣),9,35,3.4,4.85,0.18,0,4.85,52
脫脂奶(無添加維他命A及D),9,34,3.37,4.96,0.08,0,5.09,42
脫脂奶粉(即溶，無添加維他命A及D),9,358,35.1,52.19,0.72,0,52.19,549
脫脂奶粉(無添加維他命A及D),9,362,36.16,51.98,0.77,0,51.98,535
脫脂淡奶(罐裝，添加維他命A及D）,9,78,7.55,11.35,0.2,0,11.35,115
芝士火鍋,9,229,14.23,3.77,13.47,0,0,132
茅屋芝士(含蔬菜),9,95,10.9,3,4.2,0.1,0.37,403
茅屋芝士(忌廉狀，含水果),9,97,10.69,4.61,3.85,0.2,2.38,344
茅屋芝士(忌廉狀，大或小凝乳),9,98,11.12,3.38,4.3,0,2.67,364
茅屋芝士(脫脂，非忌廉狀，乾，大或小凝乳),9,72,10.34,6.66,0.29,0,1.85,330
荷蘭球形芝士,9,357,24.99,1.43,27.8,0,1.43,965
莫澤雷勒芝士(以全脂奶製成),9,300,22.17,2.19,22.35,0,1.03,627
莫澤雷勒芝士(以全脂奶製成，低水分),9,318,21.6,2.47,24.64,0,1.01,415
莫澤雷勒芝士(以部分脫脂奶製成),9,254,24.26,2.77,15.92,0,1.13,619
莫澤雷勒芝士(以部分脫脂奶製成，低水分),9,302,25.96,3.83,20.03,0,0.6,528
莫澤雷勒芝士(低鈉),9,280,27.5,3.1,17.1,0,1.23,16
莫澤雷勒芝士(脫脂),9,141,31.7,3.5,0,1.8,1.48,743
蒙特利芝士,9,373,24.48,0.68,30.28,0,0.5,536
蒙特利芝士(低脂),9,310,28.2,0.7,21.6,0,0.56,564
藍芝士,9,353,21.4,2.34,28.74,0,0.5,1395
赤郡芝士,9,387,23.37,4.78,30.6,0,0,700
車打芝士,9,403,24.9,1.28,33.14,0,0.52,621
車打芝士或高寶芝士(低脂),9,173,24.35,1.91,7,0,0.52,612
車打芝士或高寶芝士(低鈉),9,398,24.35,1.91,32.62,0,0.49,21
軟山羊芝士,9,268,18.52,0.89,21.08,0,0.89,368
較低脂奶(含2%乳脂，無添加維他命A及D),9,50,3.3,4.8,1.98,0,5.06,47
較低脂朱古力奶(添加鈣),9,78,2.99,12.13,1.9,0.7,9.55,66
酸奶(發酵，低脂),9,40,3.31,4.79,0.88,0,4.79,105
酸奶(發酵，較低脂),9,56,4.1,5.3,2,0,5.3,86
酸奶粉,9,387,34.3,49,5.78,0,49,517
酸忌廉(不含脂肪),9,74,3.1,15.6,0,0,0.39,141
酸忌廉(發酵),9,193,2.07,2.88,19.73,0,3.5,80
酸忌廉(發酵，較低脂),9,135,2.94,4.26,12,0,0.16,41
酸忌廉(較低脂),9,181,7,7,14.1,0,0.3,70
酸忌廉(輕怡),9,138,3.5,7.1,10.6,0,0.22,71
金文拔芝士,9,300,19.8,0.46,24.26,0,0.46,842
門斯特芝士,9,368,23.41,1.12,30.04,0,1.12,628
門斯特芝士(低脂),9,271,24.7,3.5,17.6,0,3.5,600
雜果乳酪(脫脂),9,95,4.4,19,0.2,0,19,58
雲呢拿奶昔(快餐式),9,148,3.37,19.59,6.52,0.9,13.63,81
雲呢拿奶昔(稠),9,112,3.86,17.75,3.03,0,17.75,95
高寶芝士,9,394,23.76,2.57,32.11,0,0.52,604
中脂軟酪{中脂軟芝士},9,179,9.2,3.1,14.5,0,0,0
人乳,9,65,1.3,7.4,3.4,0,0,0
全脂加糖奶粉,9,490,22.5,47.4,23.4,0,0,450.8
全脂即溶奶粉,9,466,19.9,54,18.9,0,0,247.6
全脂牛奶粉,9,478,20.1,51.7,21.2,0,0,260.1
全脂羊乳粉,9,498,18.8,49,25.2,0,0,0
全脂軟酪,9,313,8.6,0,31,0,0,330
契達乾酪(普通),9,412,25.5,0.1,34.4,0,0,670
契達乾酪(脫脂),9,261,31.5,0,15,0,0,670
奶油(食品工業),9,504,1.1,0,55.5,0,0,190.8
奶片,9,472,13.3,59.3,20.2,0,0,179.7
奶疙瘩[奶酪乾，乾酸奶],9,426,55.1,17.7,15,0,0,79.3
奶皮子,9,460,12.2,6.3,42.9,0,0,2.3
奶豆腐(脫脂),9,343,53.7,26.5,2.5,0,0,55.4
奶豆腐(鮮),9,305,46.2,12.5,7.8,0,0,90.2
奶酪[乾酪],9,328,25.7,3.5,23.5,0,0,584.6
曲拉,9,356,39.1,43.4,2.9,0,0,285.2
果味奶,9,20,0.9,2.4,0.8,0,0,37.4
煉乳(甜，罐頭),9,332,8,55.4,8.7,0,0,211.9
牛乳(均值),9,54,3,3.4,3.2,0,0,37.2
羊乳酪,9,250,15.6,1.5,20.2,0,0,1440
酸奶(中脂),9,64,2.7,9,1.9,0,0,13
酸奶(均值),9,72,2.5,9.3,2.7,0,0,39.8
酸奶(果料),9,67,3.1,10.4,1.4,0,0,32.5
酸奶(脫脂),9,57,3.3,10,0.4,0,0,27.7
酸酪蛋,9,443,40.4,24.4,20.4,0,0,130.8
鮮羊乳,9,59,1.5,5.4,3.5,0,0,20.6
全脂奶,9,64,3.1,4.7,3.7,0,4.2,40
奶昔,9,110,1.3,14,5.2,0,12,41
攪拌忌廉,9,350,2.2,3.6,36,0,2.7,29
植脂淡奶,9,120,5.9,11,6.1,0,9.9,130
乳酪(雲呢拿味),9,93,4.9,9.8,3.4,0,9.8,56
乳酪(雲呢拿味，低脂)[含少於0.5%脂肪],9,88,5.8,13.9,0.5,0.2,12.7,66
乳酪[天然],9,85,5.7,4.8,4.2,0,4.8,72
乳酪[天然](低脂),9,58,6.6,6,0.3,0,6,83
仿忌廉[非奶類],9,266,1,17.7,21.8,0,16.3,57
佩哥利諾芝士,9,356,28,0.2,27.2,0,0.2,948
全脂奶(經超高溫處理),9,65,3.5,4.5,3.7,0,4.5,43
全脂奶[含約3.5%脂肪],9,67,3.3,4.7,4,0,4.7,46
全脂奶粉,9,491,27.2,38.3,26.3,0,38.3,310
全脂淡奶(罐裝),9,142,7.6,9.9,8.1,0,9.9,104
全脂羊奶,9,50,3.1,3.6,2.6,0,3.6,66
