食物名稱,種類,能量,蛋白質,碳水化合物,脂肪,膳食纖維,糖,鈉
人心果,4,83,0.44,19.96,1.1,5.3,0,12
仙人掌果,4,41,0.73,9.57,0.51,3.6,0,5
克門提柑,4,47,0.85,12.02,0.15,1.7,9.18,1
冷子番荔枝,4,75,1.57,17.71,0.68,3,12.87,7
刺果番荔枝,4,66,1,16.84,0.3,3.3,13.54,14
博伊森莓(罐裝，濃糖水浸),4,88,0.99,22.31,0.12,2.6,0,3
博伊森莓(雪藏，無添加糖),4,50,1.1,12.19,0.26,5.3,6.89,1
卡薩巴甜瓜,4,28,1.11,6.58,0.1,0.9,5.69,9
哈蜜瓜,4,34,0.84,8.16,0.19,0.9,7.86,16
哈蜜瓜球(雪藏),4,33,0.84,7.94,0.25,0.7,0,31
士多啤梨,4,32,0.67,7.68,0.3,2,4.89,1
士多啤梨(罐裝，濃糖水浸，連液體),4,92,0.56,23.53,0.26,1.7,21.83,4
士多啤梨(雪藏，添加糖，切片),4,96,0.53,25.92,0.13,1.9,24.01,3
士多啤梨(雪藏，添加糖，整粒),4,78,0.52,21,0.14,1.9,18.61,1
士多啤梨(雪藏，無添加糖),4,35,0.43,9.13,0.11,2.1,4.56,2
士多啤梨番石榴,4,69,0.58,17.36,0.6,5.4,0,37
大楊莓(雪藏),4,55,1.52,13.02,0.31,5.3,7.7,1
大樹菠蘿,4,94,1.47,24.01,0.3,1.6,0,3
大樹菠蘿(罐裝，糖水浸),4,92,0.36,23.94,0.14,0.9,0,11
大蕉,4,122,1.3,31.89,0.37,2.3,15,4
大蕉(經烹煮),4,116,0.79,31.15,0.18,2.3,14,5
大黃,4,21,0.9,4.54,0.2,1.8,1.1,4
大黃(雪藏，未經烹煮),4,21,0.55,5.1,0.11,1.8,1.1,2
大黃(雪藏，經烹煮，含糖),4,116,0.39,31.2,0.05,2,28.7,1
小紅莓,4,46,0.39,12.2,0.13,4.6,4.04,2
小紅莓乾(添加糖),4,308,0.07,82.36,1.37,5.7,65,3
小紅莓醬(罐裝，添加糖),4,151,0.2,38.9,0.15,1,37.9,29
小紅莓香橙調味醬(罐裝),4,178,0.3,46.2,0.1,0,0,32
山竹(罐裝，糖水浸),4,73,0.41,17.91,0.58,1.8,0,7
山茄,4,49,0.96,11.31,0.64,0,0,6
布冧,4,46,0.7,11.42,0.28,1.4,9.92,0
布冧(罐裝，濃糖水浸，瀝乾),4,89,0.44,23.12,0.14,1.5,21.58,19
成熟橄欖(罐裝)[細至特大],4,115,0.84,6.26,10.68,3.2,0,872
接骨木果,4,73,0.66,18.4,0.5,7,0,6
提子(罐裝，湯姆生無核品種，水浸，連液體),4,40,0.5,10.3,0.11,0.6,9.7,6
提子(罐裝，湯姆生無核品種，濃糖水浸，連液體),4,76,0.48,19.65,0.1,0.6,19.05,5
提子乾(去核),4,296,2.52,78.47,0.54,6.8,0,28
提子乾(無核),4,299,3.07,79.18,0.46,3.7,59.19,11
曼密果,4,51,0.5,12.5,0.5,3,0,15
木瓜,4,39,0.61,9.81,0.14,1.8,5.9,3
李乾[梅](未經烹煮),4,240,2.18,63.88,0.38,7.1,38.13,2
李乾[梅](燴，添加糖),4,124,1.09,32.88,0.22,3.8,0,2
李乾[梅](燴，無添加糖),4,107,0.96,28.08,0.16,3.1,24.98,1
杏,4,48,1.4,11.12,0.39,2,9.24,1
杏(罐裝，果汁浸，連皮及液體),4,48,0.63,12.34,0.04,1.6,10.74,4
杏(罐裝，水浸，去皮，連液體),4,22,0.69,5.48,0.03,1.1,0,11
杏(罐裝，水浸，連皮及液體),4,27,0.71,6.39,0.16,1.6,4.79,3
杏(罐裝，濃糖水浸，去皮，連液體),4,83,0.51,21.45,0.09,1.6,0,11
杏(罐裝，濃糖水浸，瀝乾),4,83,0.64,21.31,0.11,2.7,18.65,4
杏(罐裝，濃糖水浸，連皮及液體),4,83,0.53,21.47,0.08,1.6,19.87,4
杏(罐裝，稀糖水浸，連皮及液體),4,63,0.53,16.49,0.05,1.6,14.89,4
杏(脫水[低水分]，經亞硫酸處理，未經烹煮),4,320,4.9,82.89,0.62,0,0,13
杏(脫水[低水分]，經亞硫酸處理，燴),4,126,1.93,32.62,0.24,0,0,5
杏(雪藏，添加糖),4,98,0.7,25.1,0.1,2.2,0,4
杏脯(經亞硫酸處理，未經烹煮),4,241,3.39,62.64,0.51,7.3,53.44,10
杏脯(經亞硫酸處理，燴，添加糖),4,113,1.17,29.26,0.15,4.1,0,3
杏脯(經亞硫酸處理，燴，無添加糖),4,85,1.2,22.15,0.18,2.6,19.57,4
枇杷,4,47,0.43,12.14,0.2,1.7,0,1
柚子,4,38,0.76,9.62,0.04,1,0,1
柿(日本品種),4,70,0.58,18.59,0.19,3.6,12.53,1
柿(美國品種),4,127,0.8,33.5,0.4,0,0,1
柿餅(日本品種),4,274,1.38,73.43,0.59,14.5,0,2
桃,4,39,0.91,9.54,0.25,1.5,8.39,0
桃(加香料，罐裝，濃糖水浸，連液體),4,75,0.41,20.08,0.1,1.3,18.78,4
桃(罐裝，果汁浸，連液體),4,44,0.63,11.57,0.03,1.3,10.27,4
桃(罐裝，水浸，連液體),4,24,0.44,6.11,0.06,1.3,4.81,3
桃(罐裝，濃糖水浸，瀝乾),4,77,0.54,19.79,0.14,2.2,17.63,6
桃(罐裝，濃糖水浸，連液體),4,74,0.45,19.94,0.1,1.3,18.64,6
桃(罐裝，稀糖水浸，連液體),4,54,0.45,14.55,0.03,1.3,13.25,5
桃(脫水[低水分]，經亞硫酸處理，未經烹煮),4,325,4.89,83.18,1.03,0,0,10
桃(脫水[低水分]，經亞硫酸處理，燴),4,133,2.01,34.14,0.42,0,0,4
桃(雪藏，切片，添加糖),4,94,0.63,23.98,0.13,1.8,22.18,6
桃乾(經亞硫酸處理，未經烹煮),4,239,3.61,61.33,0.76,8.2,41.74,7
桃乾(經亞硫酸處理，燴，添加糖),4,103,1.06,26.6,0.22,2.4,0,2
桃乾(經亞硫酸處理，燴，無添加糖),4,77,1.16,19.69,0.25,2.7,16.99,2
桃駁梨,4,44,1.06,10.55,0.32,1.7,7.89,0
桑特提子乾,4,283,4.08,74.08,0.27,6.8,67.28,8
桑葚,4,43,1.44,9.8,0.39,1.7,8.1,10
梨,4,58,0.38,15.46,0.12,3.1,9.8,1
梨(亞洲品種),4,42,0.5,10.65,0.23,3.6,7.05,0
梨(罐裝，果汁浸，連液體),4,50,0.34,12.94,0.07,1.6,9.7,4
梨(罐裝，水浸，連液體),4,29,0.19,7.81,0.03,1.6,6.1,2
梨(罐裝，濃糖水浸，瀝乾),4,74,0.24,19.08,0.18,2.7,16.42,5
梨(罐裝，濃糖水浸，連液體),4,74,0.2,19.17,0.13,1.6,15.2,5
梨(罐裝，稀糖水浸，連液體),4,57,0.19,15.17,0.03,1.6,12.1,5
梨乾(經亞硫酸處理，未經烹煮),4,262,1.87,69.7,0.63,7.5,62.2,6
梨乾(經亞硫酸處理，燴，添加糖),4,140,0.86,37.14,0.29,5.8,0,3
梨乾(經亞硫酸處理，燴，無添加糖),4,127,0.91,33.81,0.31,6.4,27.41,3
棗,4,79,1.2,20.23,0.2,0,0,3
棗乾,4,287,3.7,73.6,1.1,0,0,9
椰棗,4,282,2.45,75.03,0.39,8,63.35,2
楊桃,4,31,1.04,6.73,0.33,2.8,3.98,2
榅桲,4,57,0.4,15.3,0.1,1.9,0,4
榴槤(未加工或雪藏),4,147,1.47,27.09,5.33,3.8,0,2
橙,4,47,0.94,11.75,0.12,2.4,9.35,0
橙(連皮),4,63,1.3,15.5,0.3,4.5,0,2
橙皮,4,97,1.5,25,0.2,10.6,0,3
檸檬(去皮),4,29,1.1,9.32,0.3,2.8,2.5,2
檸檬(連皮),4,20,1.2,10.7,0.3,4.7,0,3
檸檬皮,4,47,1.5,16,0.3,10.6,4.17,6
歐洲黑加侖子,4,63,1.4,15.38,0.41,0,0,2
水果沙律[桃、梨、杏、菠蘿及車厘子](罐裝，果汁浸，連液體),4,50,0.51,13.05,0.03,1,0,5
水果沙律[桃、梨、杏、菠蘿及車厘子](罐裝，水浸，連液體),4,30,0.35,7.87,0.07,1,0,3
水果沙律[桃、梨、杏、菠蘿及車厘子](罐裝，濃糖水浸，連液體),4,73,0.34,19.11,0.07,1,18.11,6
水果沙律[桃、梨、杏、菠蘿及車厘子](罐裝，稀糖水浸，連液體),4,58,0.34,15.14,0.07,1,0,6
海棠果,4,76,0.4,19.95,0.3,0,0,1
無花果,4,74,0.75,19.18,0.3,2.9,16.26,1
無花果(罐裝，水浸，連液體),4,53,0.4,13.99,0.1,2.2,11.79,1
無花果(罐裝，濃糖水浸，連液體),4,88,0.38,22.9,0.1,2.2,20.7,1
無花果(罐裝，稀糖水浸，連液體),4,69,0.39,17.95,0.1,1.8,16.15,1
無花果乾(未經烹煮),4,249,3.3,63.87,0.93,9.8,47.92,10
無花果乾(燴),4,107,1.42,27.57,0.4,4.2,23.35,4
熱帶水果沙律[菠蘿、木瓜、香蕉及番石榴](罐裝，濃糖水浸，連液體),4,86,0.41,22.36,0.1,1.3,0,2
燈籠果,4,53,1.9,11.2,0.7,0,0,0
牛油果,4,160,2,8.53,14.66,6.7,0.66,7
甜車厘子,4,63,1.06,16.01,0.2,2.1,12.82,0
甜車厘子(罐裝，去核，濃糖水浸，瀝乾),4,83,0.73,21.07,0.21,2.3,16.18,3
甜車厘子(罐裝，去核，濃糖水浸，連液體),4,83,0.6,21.27,0.15,1.4,16.18,3
甜車厘子(罐裝，果汁浸，連液體),4,54,0.91,13.81,0.02,1.5,12.31,3
甜車厘子(罐裝，水浸，連液體),4,46,0.77,11.76,0.13,1.5,10.26,1
甜車厘子(罐裝，稀糖水浸，連液體),4,67,0.61,17.29,0.15,1.5,15.79,3
甜車厘子(雪藏，添加糖),4,89,1.15,22.36,0.13,2.1,20.26,1
番石榴,4,68,2.55,14.32,0.95,5.4,8.92,2
