食物名稱,種類,能量,蛋白質,碳水化合物,脂肪,膳食纖維,糖,鈉
乾麵包片餅乾,1,407,13.5,72.3,7.2,0,0,253
低筋小麥白麵粉(添加),1,362,8.2,78.03,0.86,1.7,0.31,2
倒置型菠蘿蛋糕,1,319,3.5,50.5,12.1,0.8,0,319
免治批,1,289,2.6,48,10.8,2.6,28.31,254
全穀小麥粉,1,339,13.7,72.57,1.87,12.2,0.41,5
全穀白粟米粉,1,361,6.93,76.85,3.86,7.3,0.64,5
全穀黃粟米粉,1,361,6.93,76.85,3.86,7.3,0.64,5
全穀黑小麥粉,1,338,13.18,73.14,1.81,14.6,0,2
全蛋麵(乾，沒有添加),1,384,14.16,71.27,4.44,3.3,1.88,21
全蛋麵(熟，添加鹽),1,138,4.54,25.16,2.07,1.2,0.4,165
全蛋麵(熟，無添加鹽),1,138,4.54,25.16,2.07,1.2,0.4,5
全麥彼德麵包,1,266,9.8,55,2.6,7.4,0.82,532
全麥意大利粉(乾),1,348,14.63,75.03,1.4,0,0,8
全麥意大利粉(熟),1,124,5.33,26.54,0.54,4.5,0.8,3
全麥猶太薄脆餅乾,1,351,13.1,78.9,1.5,11.8,0,2
全麥英式鬆餅,1,203,8.8,40.4,2.1,6.7,8.09,472
全麥英式鬆餅(烘過),1,221,9.6,44.1,2.3,7.3,8.79,692
全麥通心粉(乾),1,348,14.63,75.03,1.4,8.3,0,8
全麥通心粉(熟),1,124,5.33,26.54,0.54,2.8,0.8,3
全麥餅(原味或蜜糖味)[含玉桂],1,423,6.9,76.8,10.1,2.8,31.1,605
全麥餅(朱古力面層),1,484,5.8,66.5,23.2,3.1,41.56,291
全麥餅乾(低鹽),1,443,8.8,68.6,17.2,10.5,0.37,247
全麥餅乾(較低脂),1,416,11.34,75.52,7.59,10.9,1.22,604
全麥餐包,1,266,8.7,51.1,4.7,7.5,8.46,478
全麥麵包,1,247,12.95,41.29,3.35,6.8,5.57,472
全麥麵包(烘過),1,306,16.27,51.16,4.07,9.2,5.77,583
冬甩(蛋糕類型)[包括無添加糖、傳統口味],1,418,5.87,45.63,23.55,1.6,16.28,557
冬甩(蛋糕類型，朱古力面層),1,452,4.93,51.33,25.25,1.9,26.65,413
冬甩(蛋糕類型，糖霜或糖漿面層),1,426,5.2,50.8,22.9,1.5,0,402
冬甩(酵母發酵，糖漿面層，沒有添加)[包括蜜糖包],1,403,6.4,44.3,22.8,1.2,0,342
動物曲奇(快餐式),1,446,6.18,75.33,13.43,0,0,408
動物餅[包括竹芋、佐茶餅乾],1,446,6.9,74.1,13.8,1.1,13.93,393
北非麥粒(乾),1,376,12.76,77.43,0.64,5,0,10
北非麥粒(熟),1,112,3.79,23.22,0.16,1.4,0.1,5
南瓜批,1,243,3.9,34.83,9.75,1.8,18.88,233
南瓜批預拌粉(罐裝),1,104,1.09,26.39,0.13,8.3,0,208
卡姆小麥(未經烹煮),1,337,14.7,70.38,2.2,9.1,8.19,6
卡姆小麥(熟),1,146,6.45,30.46,0.91,3.9,0,6
即食全麥燕麥片(添加糖及碧根果仁),1,408,9.3,71.4,11.8,7,15.3,403
即食小紅莓夏威夷果仁燕麥,1,408,6.64,76.98,9.82,6,28.73,418
即食小麥(切碎，不含糖及鹽),1,337,11.37,78.76,2.21,12,0.94,6
